No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
11,企業がクラウドを導入することで得られる「ビジネスの俊敏性（アジリティ）」の向上を最もよく表しているものはどれですか？,ハードウェアの調達から設置まで数ヶ月かけて慎重に計画できること,新しいアイデアやサービスを数分で立ち上げ、失敗してもすぐに撤退（フェイルファスト）できること,セキュリティの責任をすべてクラウドプロバイダーに任せられること,IT部門のスタッフを完全に削減できること,B,クラウドの最大のメリットの一つは、リソースを瞬時に調達でき、実験的なプロジェクトを素早く低コストで試せる「ビジネスの俊敏性」です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
12,Googleが社内で開発し、オープンソースとして一般公開した「コンテナオーケストレーションシステム」はどれですか？,Hadoop,Linux,Kubernetes,TensorFlow,C,KubernetesはGoogleが開発しオープンソース化した技術であり、現在では業界標準のコンテナ管理プラットフォームとなっています。なお、TensorFlowもGoogle発ですが、こちらは機械学習のフレームワークです。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
13,企業がオンプレミスからGoogle Cloudへ移行することで達成しやすくなる「環境的サステナビリティ（持続可能性）」のメリットは何ですか？,物理サーバーの廃棄処分を顧客自身で行う権限が得られる,100%再生可能エネルギーで稼働するデータセンターを利用できる,サーバーの冷却にフロンガスのみを使用している,インターネット接続が不要になるため電力を消費しない,B,Google Cloudは、消費する電力の100%を再生可能エネルギーでカバーしており、クラウド移行は企業のカーボンフットプリント（温室効果ガス排出量）削減に直結します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
14,従来のIT環境における「資本的支出（CapEx）」の具体例として正しいものはどれですか？,毎月のインターネット回線使用料,ソフトウェアの月額サブスクリプション費用,新しいデータセンター用の物理サーバーの購入,クラウド上の仮想マシンの時間単位の利用料,C,CapEx（資本的支出）は、サーバーやネットワーク機器などの物理的な資産を購入するための初期投資を指します。クラウドはこれをOpEx（運用費）に変換します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
15,Google Cloudが提供するパブリッククラウド環境の基本的な特徴として正しいものはどれですか？,特定の一企業のためだけに構築された物理的な専用環境である,リソースはインターネット経由で複数の組織（テナント）と共有される,顧客の社内ネットワーク内にGoogleのサーバーを設置する,カスタマイズされた独自のハードウェアを顧客が持ち込む必要がある,B,パブリッククラウドは、基盤となるインフラを複数の組織（マルチテナント）で共有し、インターネット経由でサービスを利用するモデルです。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
16,デジタルトランスフォーメーション（DX）において、「API」を活用する主な目的は何ですか？,自社の機密データを完全にオフラインで保管するため,古いシステムを物理的に廃棄するため,異なるシステムやアプリケーション間でデータや機能を簡単に連携・共有するため,従業員のパスワードを複雑化するため,C,API（Application Programming Interface）は、ソフトウェア同士をつなぐ窓口であり、新しいサービスの迅速な開発やパートナー企業との連携（APIエコノミー）を促進します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
17,イノベーションを促進する企業文化において、Googleが推奨する「心理的安全性」を確保するための実践例はどれですか？,障害発生時に、原因となった担当者を特定して罰する,障害発生時に、個人を責めず「なぜシステムがそれを許容したか」を分析する（非難なきポストモーテム）,失敗のリスクがあるプロジェクトは一切承認しない,すべての意思決定をトップダウンで行う,B,「非難なきポストモーテム（Blameless Postmortem）」はSREの重要な文化であり、失敗を個人の責任にせず、システムの改善に繋げることでイノベーションを促進します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
18,クラウドコンピューティングの5つの基本特性の一つである「オンデマンド・セルフサービス」とは何ですか？,IT部門やプロバイダーの担当者を介さず、ユーザー自身が必要な時に自動でリソースをプロビジョニングできること,カスタマーサポートに電話をかけることでリソースが追加されること,契約後、1年間は解約できないこと,リソースの使用量が常に一定であること,A,管理者の承認や物理的な作業を待つことなく、WebコンソールやAPIから数クリックでサーバーなどを立ち上げられる特性を指します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
19,Google Cloudの「グローバル リーチ」がビジネスにもたらす最大のメリットは何ですか？,世界中のすべての国で同じ法律が適用されるようになる,エンドユーザーの地理的に近い場所にアプリケーションを配置でき、遅延（レイテンシ）を最小限に抑えられる,翻訳ツールを使わずに全言語でサポートを受けられる,為替変動の影響を受けずに一律の料金で利用できる,B,世界中に配置されたGoogle Cloudのリージョン（拠点）を利用することで、グローバル展開する際もユーザーに高速で快適なサービスを提供できます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
20,IaaSとPaaSを比較した際、PaaS（Platform as a Service）を利用する開発者の最大のメリットは何ですか？,OSのカーネルやパッチ適用を完全に自社でコントロールできる,インフラやOSの管理を気にせず、アプリケーションのコード開発にのみ集中できる,アプリケーションのコードを一切書かずに既製品のソフトウェアを利用できる,自社のデータセンター内に物理サーバーを構築できる,B,PaaS（App Engineなど）はOSやミドルウェアの管理をプロバイダーが行うため、開発者はビジネスロジック（コード）の作成に専念できます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
21,企業が新製品のアイデアを思いついてから、実際に顧客に提供するまでの時間を何と呼びますか？（クラウド導入によりこの時間が劇的に短縮されます）,投資利益率 (ROI),総所有コスト (TCO),サービスレベル目標 (SLO),タイム・トゥ・マーケット (Time to Market / 市場投入までの時間),D,クラウドを利用することで、インフラの調達・構築にかかる時間が数ヶ月から数分に短縮され、「タイム・トゥ・マーケット」を大幅に改善できます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
22,特定のITベンダー独自の技術に縛られず、他社環境への移行を容易にするために、Google Cloudが積極的に採用・支援しているソフトウェアの形態は何ですか？,クローズドソース ソフトウェア,オープンソース ソフトウェア (OSS),レガシー ソフトウェア,プロプライエタリ ソフトウェア,B,KubernetesやTensorFlowなどのオープンソース技術（OSS）をベースにすることで、ベンダーロックインを防ぎ、ハイブリッド/マルチクラウド戦略を容易にします。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
23,データ分析の専門家だけでなく、営業やマーケティングなど現場のビジネスユーザー自身がデータにアクセスし、意思決定を行えるようにする取り組みを何と呼びますか？,データのサイロ化,データの民主化 (Data Democratization),データのマスキング,データの暗号化,B,LookerなどのBIツールやBigQueryを活用し、組織全体でデータを活用できる文化を作ることを「データの民主化」と呼びます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
24,企業がオンプレミス環境でシステムのピーク時（例：年に1度の大規模セール）に合わせてハードウェアを購入した場合、セール以外の期間に発生する無駄なコストを何と呼びますか？,スケールメリット,運用費 (OpEx),オーバープロビジョニング (過剰なリソース確保),ベンダーロックイン,C,最大の負荷に合わせてインフラを固定で用意すると、通常時はリソースが余り無駄が発生します。クラウドの「弾力性（オートスケール）」はこれを解決します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
25,企業のIT部門が把握・管理していない状態で、現場の従業員が独自の判断で外部のクラウドサービスやツールを利用している状態を何と呼びますか？,ハイブリッドクラウド,マルチクラウド,シャドーIT,デジタルトランスフォーメーション,C,シャドーITはセキュリティリスク（データ漏洩など）の温床となります。企業は公式なクラウドプラットフォームを提供し、ガバナンスを効かせる必要があります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
26,システムやアプリケーションが機能を追加したり、新しい要件に適応したりする際の「変更のしやすさ」や「素早さ」を指す用語は何ですか？,耐障害性 (Fault Tolerance),アジリティ (俊敏性),可用性 (Availability),レイテンシ (遅延),B,ビジネス要件の変化に対して、ITシステムがどれだけ迅速かつ柔軟に対応できるかを示す指標がアジリティです。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
27,企業がクラウド移行の「総所有コスト（TCO）」を計算する際、オンプレミス環境のコストとして含めるべきものはどれですか？,Google Cloudのデータ下り（外向き）ネットワーク料金,BigQueryのクエリ実行費用,データセンターの物理的なスペース代、電気代、冷却費,Spot VMの利用料金,C,TCOの比較では、サーバーの購入費だけでなく、それを維持するための設備費（家賃、電気代、空調費）や保守スタッフの人件費などもすべてオンプレミス側のコストとして計上する必要があります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
28,Googleが提唱する「10倍思考（10x thinking）」の目的は何ですか？,利益を10倍にするために製品の価格を10倍に引き上げること,既存のプロセスを10%改善するのではなく、根本から見直して10倍の成果を目指すイノベーションを生み出すこと,サーバーの台数を常に10倍に維持すること,開発者の労働時間を10倍に増やすこと,B,小さな改善（10%の向上）に留まらず、全く新しいアプローチ（機械学習の導入など）によって圧倒的な飛躍（10倍の向上）を目指すGoogleのイノベーション文化です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
29,クラウド導入を成功させるために、テクノロジー（技術）と同じくらい変革が必要とされるものは何ですか？,本社の所在地,オフィスのレイアウト,企業カルチャー（文化）と組織のプロセス,従業員の服装規定,C,DX（デジタルトランスフォーメーション）の成功には、クラウドという「技術」だけでなく、失敗を許容しアジャイルに動く「企業文化」の変革が不可欠です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
30,自社のシステムをAPIとして外部に公開し、他社（パートナー企業やサードパーティのアプリ開発者）のサービスと連携させることで新たなビジネス価値や収益を生み出す経済圏を何と呼びますか？,APIエコノミー,サブスクリプションモデル,モノリシックエコノミー,オンプレミスエコノミー,A,地図のAPI（Google Maps APIなど）を配車アプリが利用するように、APIを通じて企業同士が連携し、新しいサービスを創出する仕組みを指します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
31,クラウドの費用対効果を評価するために、投資額に対する利益の割合を測定する財務指標は何ですか？,TCO (総所有コスト),ROI (投資利益率),SLA (サービスレベル契約),OpEx (運用費),B,ROI（Return on Investment）は、どれだけの投資でどれだけの利益が得られたかを測る指標で、クラウド移行のビジネスケースを説明する際に重要です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
32,企業がGoogle Cloudを導入する際、最初に「リソース階層」の最上位に作成・設定すべきものは何ですか？,Compute Engine インスタンス,BigQuery データセット,組織ノード (Organization),Cloud Storage バケット,C,組織ノードは、企業全体のGoogle Cloudリソースを管理するための最上位の階層で、請求、アクセス制御、ポリシーを一元的に管理するために不可欠です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
33,Google Cloudにおける「リージョン (Region)」の主な役割は何ですか？,世界中のユーザーにコンテンツを最も速く配信するためのキャッシュ拠点,物理的に独立したデータセンターの集まりで、高い可用性と低遅延を提供するための地理的エリア,Google Cloudのサービスを顧客が利用するためのログインポータル,顧客の請求アカウントを管理するためのシステム,B,リージョンはそれぞれ複数のゾーン（データセンター）を含み、リージョン内またはリージョン間での冗長化により、障害耐性とデータのレジデンシー要件を満たす上で重要です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
34,プロダクトを開発するチームが、ビジネス部門や運用部門と密接に連携し、継続的な改善と価値提供を目指すアプローチを何と呼びますか？,ウォーターフォール開発,DevOps (開発運用),アジャイル開発,ガバナンス,B,DevOpsは開発チームと運用チームが協力し、ツールやプロセス、文化を用いることで、ソフトウェアのデリバリーと安定性を向上させる実践です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
35,企業のIT資産をクラウドに移行する際、アプリケーションの変更を最小限に抑えつつ、OSを含む既存のシステムをそのままクラウド上のVMにコピーする移行戦略は何ですか？,リファクタリング (Re-architect),リプラットフォーム (Replatform),リホスト (Rehost / リフト＆シフト),リプレイス (Replace),C,リホストは最もシンプルかつ高速な移行戦略で、既存環境をできるだけ変えずにクラウドに移動させます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
36,クラウド環境において「共有責任モデル」の原則に基づき、Googleが責任を負う領域として適切なものはどれですか？,顧客アプリケーションの脆弱性,保存されている顧客データのアクセス制御設定,地下にあるデータセンターの物理セキュリティとインフラストラクチャ,顧客のネットワーク内にあるファイアウォールの設定,C,Googleは、データセンターの物理的セキュリティ、基盤となるインフラストラクチャ、ハードウェア、ネットワーク、仮想化レイヤーのセキュリティに責任を負います。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
37,企業がクラウドを導入する主な理由として、「市場投入までの時間の短縮」が挙げられますが、これを可能にするクラウドの特性はどれですか？,物理サーバーの冷却機能が優れている,サーバーの購入に時間がかかる,必要な時に必要なリソースを素早くプロビジョニングできること (オンデマンド・セルフサービス),データセンターが世界中に分散していること,C,必要なリソースを数分で調達し設定できるため、アイデアからプロダクト、そして市場へというサイクルを劇的に加速できます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
38,企業が「ハイブリッドクラウド」を導入する際のビジネス上の主要な目的は何ですか？,単一のベンダーに全面的に依存するため,データレジデンシー要件やレガシーシステムとの連携など、特定のユースケースでオンプレミスを維持しつつ、クラウドのメリットも享受するため,すべてのデータを常にインターネット上に公開するため,外部からのアクセスを完全に遮断し、閉鎖的な環境を構築するため,B,ハイブリッドクラウドは、規制順守、データレジデンシー、低遅延、既存のIT投資の活用といった理由で、オンプレミスとクラウドを共存させる戦略です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
39,クラウド利用の「弾力性（Elasticity）」がビジネスにもたらす最大のメリットは何ですか？,固定資産の運用コストを削減できる,需要に応じてリソースを自動的に増減させ、サービスの安定稼働とコスト効率を両立できる,データの物理的な所在地を常に単一の国に固定できる,従業員の生産性を低下させられる,B,弾力性により、例えばキャンペーン期間中のトラフィック急増時にもシステムはダウンせず、アイドル時には課金を抑えることができます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
40,Google Cloudにおいて、「ゾーン (Zone)」の主な役割は何ですか？,特定のリージョン内で、互いに独立した障害ドメインを持つ物理的に隔離されたデータセンター群,リージョン内の異なる国々を表す地理的な区分,顧客がVPCネットワークを設定するための仮想的な境界,クラウドの費用を地域ごとに計算するための単位,A,ゾーンはリージョン内の独立したインフラ群であり、異なるゾーンにリソースを分散配置することで、単一のデータセンター障害からシステムを保護し、高い可用性を実現します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
41,企業がパブリッククラウドに移行する際の「主要な動機」として最も一般的ではないものはどれですか？,ハードウェアの購入と管理の負担を軽減するため,高いスケーラビリティと弾力性を得るため,最新のデータセンターやネットワークインフラを自社で構築・所有するため,資本的支出 (CapEx) を運用費 (OpEx) に転換するため,C,パブリッククラウドの主要な動機は、自社でのインフラ構築・所有を避け、クラウドプロバイダーが提供する最新のインフラを利用することにあります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
42,Google Cloudの「リージョン」と「ゾーン」の関係について、正しい記述はどれですか？,リージョンは単一のデータセンターを表し、ゾーンはそのデータセンター内のラックの単位である。,各リージョンは1つ以上のゾーンから構成され、ゾーンは物理的に冗長化された独立した障害ドメインである。,ゾーンとは世界中のあらゆる場所を指し、リージョンはそのゾーン間のネットワーク接続を指す。,リージョンは物理的な場所を表さない抽象的な概念である。,B,各リージョンは、互いに電力、冷却、ネットワークサービスを共有しない独立したゾーンで構成されており、単一のデータセンター障害からアプリケーションを保護します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
43,企業が特定のアプリケーションをオンプレミス環境に維持し続けることを選択する理由として、最も適切なものはどれですか？,クラウドの利用料金が常に高すぎるため,そのアプリケーションが非常に古いレガシーシステムであり、独自のハードウェアに密接に結びついているため,クラウドプロバイダーがそのアプリケーションをサポートしないため,社外の従業員がそのアプリケーションにアクセスできないようにするため,B,レガシーシステムが特定のハードウェアに依存している、またはライセンス制約がある場合など、クラウドへの移行コストやリスクが高い「リテイン（現状維持）」戦略が取られることがあります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
44,デジタルトランスフォーメーションにおける「イノベーション」を推進するために、クラウドが果たす役割として最も重要視されるものはどれですか？,既存のビジネスプロセスを一切変更しないこと,新しい技術やサービスを迅速に試行し、失敗から学ぶプロセスを可能にすること (高速な実験環境),すべてのデータをオンプレミスに集約すること,従業員が新しいツールを習得しないことを保証すること,B,クラウドは、リソースを素早く調達し、新しいアイデアのPoC（Proof of Concept）やMVP（Minimum Viable Product）を短いサイクルで反復的に開発できる環境を提供し、イノベーションを加速させます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
45,クラウドへの移行を検討する際、既存のアプリケーションを大幅に再設計し、クラウドネイティブなアーキテクチャ（例：マイクロサービス、サーバーレス）へと作り変える戦略を何と呼びますか？,リホスト (Rehost),リプラットフォーム (Replatform),リファクタリング / リアーキテクト (Re-architect),リテイン (Retain),C,リアーキテクトは、クラウドのメリットを最大限に引き出すために、アプリケーションを根本から設計し直す最もコストと時間のかかる戦略ですが、長期的な柔軟性と効率をもたらします。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
46,"「マルチクラウド」戦略を採用する企業が、複数あるパブリッククラウドプロバイダー（例：Google Cloud, AWS, Azure）の中から特定のサービスを選んで利用する主な理由は何ですか？",特定のクラウドベンダーに完全に依存するため,各社が提供する専門的なサービスやベストオブブリード（各分野で最も優れた）なソリューションを活用するため,すべてのクラウドプロバイダーに同時に障害が発生した場合に備えるため,コストを意図的に複雑にするため,B,マルチクラウド戦略は、各クラウドプロバイダーのユニークな強み（機械学習に強い、特定のDBサービスが優れているなど）を組み合わせて利用することを目指します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
47,ビジネスのアジリティを向上させるために、IT部門が取り組むべき最も効果的な戦略はどれですか？,すべてのプロジェクトを手動で管理する,変化を恐れず、継続的デリバリー（CD）などの自動化されたプロセスを導入し、アプリケーションのリリースサイクルを高速化する,変更管理プロセスを極端に厳しくする,既存のレガシーシステムを一切変更しない,B,CI/CDパイプラインを構築し、開発からデプロイまでのプロセスを自動化することで、新しい機能やサービスを迅速に市場投入し、ビジネスのアジリティを高めることができます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
48,クラウドコンピューティングにおける「プロプライエタリ技術」を避ける主な利点は何ですか？,プロプライエタリ技術の方が常に性能が高い,特定のベンダーにロックインされるリスクを減少させ、柔軟なアーキテクチャ選択や将来的な移行の可能性を確保できる,ライセンス費用が必ず無料になる,セキュリティパッチの適用が不要になる,B,プロプライエタリ（独占的）技術は特定のベンダーに固有であり、それを利用しすぎると他のベンダーへの移行が困難になります。オープンソース技術などはベンダー中立性を高めます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
49,既存のオンプレミスアプリケーションのデータベースを、最小限の変更でGoogle Cloudのマネージドサービス（例：Cloud SQL）に移行する戦略は何と呼ばれますか？,リホスト,リプラットフォーム,リファクタリング,リプレイス,B,リプラットフォームは、コードの変更は最小限に抑えつつ、インフラの一部をマネージドサービスに置き換え、クラウドの利点（運用負荷軽減、スケーラビリティ）を享受する戦略です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
50,企業がイノベーションを推進するための「心理的安全性」を最も損なう行為はどれですか？,失敗から学び、その原因を分析し、改善策を共有すること,新しいアイデアの提案を奨励し、試行錯誤の機会を提供すること,失敗を個人の責任として厳しく処罰し、再発防止のために隠蔽を助長する文化を醸成すること,異なる部門間の協力とオープンなコミュニケーションを促進すること,C,失敗を罰する文化は、従業員が新しいことに挑戦することを躊躇させ、イノベーションを阻害します。SREの「非難なきポストモーテム」は心理的安全性を重視します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
51,クラウドにおいて、複数のリージョン間でデータの分散配置やレプリケーションを行う目的は何ですか？,コストを削減するため,データセンターが地域全体で停止するような壊滅的な障害（リージョン障害）が発生した場合でも、データ損失を最小限に抑え、事業継続性を確保するため,データの転送速度を意図的に遅くするため,コンプライアンス要件を無視するため,B,リージョン間での冗長化は、ディザスタリカバリ（DR）戦略の基本であり、高い事業継続性（BCP）を確保するために不可欠です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
52,Google Cloudの「Shared VPC」が解決する主な課題は何ですか？,単一のプロジェクト内で異なるネットワークアドレス空間を使用したい,複数プロジェクトにまたがるリソース（VM、GKEなど）が、共通のVPCネットワークを安全に共有し、一元的に管理できるようにしたい,オンプレミスとクラウド間で仮想ネットワークを確立したい,特定のWebアプリケーションのCDNを構築したい,B,Shared VPCは、ネットワーク管理を一元化しつつ、各プロジェクトが独立してリソースをデプロイできるため、大規模な組織でのネットワーク管理を効率化します。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
53,企業がクラウド移行を成功させるために、技術的な側面に加えて最も重視すべきことは何ですか？,全てのレガシーシステムを廃棄すること,組織内の文化変革、スキルアップ、新しい運用モデルの導入（開発と運用の連携強化など）,特定のベンダー製品のみを使用すること,あらゆる情報をインターネット上に公開すること,B,クラウド移行は単なる技術導入ではなく、組織の働き方や文化そのものを変革するDXの一部として捉える必要があります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
54,Google Cloudの「Compute Engine」インスタンスで、OSのカスタマイズや特定のソフトウェアのインストール、独自のカーネルパッチ適用など、IaaSならではの「柔軟な制御」が求められる場合に選択すべきマシンタイプは何ですか？,App Engine インスタンス,Cloud Functions 関数,カスタムマシンタイプなど、ユーザーが完全に制御できるインスタンス,Cloud Run サービス,C,Compute EngineはIaaSであるため、VMインスタンス上でOSからアプリケーションまで、ユーザーが自由に環境を構築・制御できます。App EngineやCloud Functions、Cloud RunはPaaS/FaaS/サーバーレスであり、インフラの制御範囲は限定的です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
55,企業が「ハイブリッドクラウド」環境を構築する際に、オンプレミスとクラウド間で安全なIPsec VPNトンネルを確立するために利用するサービスは何ですか？,Cloud Interconnect,Cloud VPN,Shared VPC,Cloud DNS,B,Cloud VPNは、インターネット経由でオンプレミスネットワークとGoogle CloudのVPCネットワークを安全に接続するためのサービスです。専用線接続の場合はCloud Interconnectです。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
56,クラウドサービスの進化は、従来のIT部門の役割にどのような影響を与えていますか？,IT部門の役割は完全に不要になった,IT部門はインフラの物理的管理から解放され、より戦略的なビジネス価値の創造やイノベーションの推進に注力できるようになった,IT部門は、より多くの物理サーバーを管理する必要が生じた,IT部門の業務は、より手動作業に回帰した,B,クラウドはIT部門の作業を自動化し、戦略的なR&Dやビジネス部門への貢献といった、より付加価値の高い業務へのシフトを可能にします。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
57,企業が開発・運用しているアプリケーションが、特定のイベント（例：センサーデータの到着、データベースレコードの変更）をトリガーとして実行されるように設計されている場合、これを何と呼びますか？,バッチ処理,イベント駆動型アーキテクチャ,モノリシックアーキテクチャ,プル型アーキテクチャ,B,イベント駆動型アーキテクチャは、システム間の疎結合を実現し、特定のイベント発生時にのみ必要な処理を実行することで、スケーラビリティと効率を向上させます。Cloud FunctionsやPub/Subが典型的なコンポーネントです。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
58,Google Cloud環境で稼働しているWebアプリケーションの可用性を向上させるため、複数のゾーンにわたってインスタンスを分散配置する主なメリットは何ですか？,コストを最小限に抑えることができる,単一のゾーン障害が発生しても、アプリケーションが継続して利用可能である,ネットワーク遅延が常にゼロになる,データのバックアップが不要になる,B,ゾーンとは独立した障害ドメインであるため、異なるゾーンにリソースを分散配置することで、単一ゾーンの停電やネットワーク障害などが発生してもサービスは停止しません。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
59,企業が新しいクラウドサービスや技術の採用を検討する際、最も慎重に評価すべき要素は何ですか？,その技術の流行度,その技術が解決するビジネス課題、既存システムとの統合性、コスト、セキュリティ、コンプライアンス要件,その技術のアイコンのデザイン,その技術の開発者の出身大学,B,新技術の導入は、ビジネス価値、技術的な適合性、運用上の考慮事項、セキュリティ・コンプライアンスのすべてを総合的に評価する必要があります。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
60,従来のIT環境での「ラックマウント型サーバー」の設置と、Google Cloudの「Compute Engine」のプロビジョニングを比較した際、後者が圧倒的に優れている点は何ですか？,物理的な設置スペースを多く必要とする,数カ月かかる調達期間が数分に短縮される (俊敏性),常に人手による操作が必要となる,ハードウェアのメンテナンスが顧客の責任となる,B,Compute EngineのようなIaaSサービスは、物理的なインフラの調達・設置にかかる時間と労力を大幅に削減し、ビジネスの俊敏性を高めます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
