No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
24,社内の Google アカウント（`@example.com`）を Google Cloud プロジェクトの IAM に追加する前に、Cloud Identity で行うべき作業として最も適切なものはどれですか？,各ユーザーに Compute Engine インスタンスを 1 台ずつ割り当てる,ユーザーを Cloud Identity に登録（または Google Workspace と同期）し、必要に応じてグループを作成する,すべてのユーザーにオーナーロールを一括付与する,各ユーザー専用の請求先アカウントを作成する,B,Cloud Identity（または Google Workspace）は、組織のユーザーとグループを一元管理する ID 基盤です。ユーザーやグループを ID 基盤で管理しておくと、IAM ポリシーで `user@example.com` や `dev-team@example.com` をプリンシパルとして一括付与でき、入退社時のアカウント管理も効率化されます。,【クラウド ソリューション環境の設定】
25,組織外の Google アカウントへの IAM ロール付与を禁止し、社内ドメインのユーザーのみがアクセスできるようにしたい場合、設定すべき組織ポリシーの制約はどれですか？,`constraints/compute.vmExternalIpAccess`,`constraints/iam.allowedPolicyMemberDomains`,`constraints/gcp.resourceLocations`,`constraints/compute.disableGuestAttributesAccess`,B,`iam.allowedPolicyMemberDomains` 制約（ドメイン制限共有）は、IAM ポリシーに追加できるプリンシパルのドメインを制限します。組織の Cloud Identity / Google Workspace ドメインのみを許可することで、外部アカウントへの誤った権限付与を防止できます。,【クラウド ソリューション環境の設定】
26,セキュリティチームの要望により、すべての VM から外部 IP アドレス（エフェメラル IP）の付与を禁止したい場合、設定すべき組織ポリシーの制約はどれですか？,`constraints/compute.vmExternalIpAccess`,`constraints/iam.disableServiceAccountKeyCreation`,`constraints/sql.restrictPublicIp`,`constraints/gcp.restrictCmekCryptoKeyProjects`,A,`compute.vmExternalIpAccess` 制約は、Compute Engine VM に外部 IP アドレスを割り当てる操作を組織・フォルダ・プロジェクト単位で禁止できます。外部 IP 不要の内部向けワークロードでは、この制約により意図しないインターネット公開を防げます。,【クラウド ソリューション環境の設定】
27,新規プロジェクトが今後も自動的に作成される見込みです。作成されるすべてのプロジェクトに共通の「閲覧者（Viewer）」ロールを付与する最も効率的な方法はどれですか？,各プロジェクト作成後に個別に IAM を設定する,親フォルダ（または組織）に IAM ロールを付与する,各 VM に個別に IAM を設定する,請求先アカウントに IAM ロールを付与する,B,IAM ポリシーは親階層から子階層へ継承されます。フォルダまたは組織に「閲覧者」ロールを付与しておけば、その配下に新規作成されるプロジェクトにも自動的に権限が適用されます。プロジェクトごとに個別設定する必要がなく、管理コストを大幅に削減できます。,【クラウド ソリューション環境の設定】
28,Cloud CLI で新しいプロジェクト `analytics-prod-2024` を作成し、組織 `123456789012` 配下に配置するコマンドとして正しいものはどれですか？,`gcloud compute instances create analytics-prod-2024 --organization=123456789012`,`gcloud projects create analytics-prod-2024 --organization=123456789012`,`gcloud iam projects create analytics-prod-2024 --folder=123456789012`,`gcloud billing projects create analytics-prod-2024 --org-id=123456789012`,B,プロジェクトの作成は `gcloud projects create` コマンドで行います。`--organization` フラグで組織 ID を指定すると、その組織配下にプロジェクトが作成されます。フォルダ配下に作成する場合は `--folder` フラグを使用します。,【クラウド ソリューション環境の設定】
29,プロジェクトで Kubernetes Engine API と Container Registry API の両方を有効化する Cloud CLI コマンドとして正しいものはどれですか？,`gcloud services enable container.googleapis.com containerregistry.googleapis.com`,`gcloud compute enable-api container kubernetes`,`gcloud iam services-activate container.googleapis.com`,`gcloud projects enable-api --all`,A,API の有効化は `gcloud services enable` コマンドで行い、複数の API をスペース区切りで同時に指定できます。Google Kubernetes Engine には `container.googleapis.com`、旧 Container Registry には `containerregistry.googleapis.com` が必要です（イメージ管理は Artifact Registry への移行が推奨されています）。,【クラウド ソリューション環境の設定】
30,プロジェクトで有効化済みの API を無効化した場合の影響として、最も適切な説明はどれですか？,既存リソースは自動削除され、課金も即座に停止する,その API に依存する既存リソースの動作に影響が出る可能性がある,API の無効化は IAM 権限の変更と同義である,無効化後も API 経由のすべての操作が引き続き無制限に利用できる,B,API を無効化すると、その API を使用しているリソースや自動化スクリプトが正常に動作しなくなる可能性があります。既存リソースが即座に削除されるわけではありませんが、管理操作（スケーリング、更新など）が失敗する場合があります。不要な API はセキュリティ上無効化が推奨されますが、依存関係の確認が必要です。,【クラウド ソリューション環境の設定】
31,請求先アカウントの支払い方法の変更や、請求先アカウント自体の削除を行う権限を持つ IAM ロールはどれですか？,プロジェクトオーナー（Project Owner）,請求先アカウント管理者（Billing Account Administrator）,請求先アカウント閲覧者（Billing Account Viewer）,Compute 管理者（Compute Admin）,B,請求先アカウント管理者（Billing Account Administrator）は、請求先アカウントの支払いプロファイル管理、プロジェクトのリンク/解除、請求先アカウントの削除など、課金アカウントに関する管理操作を行えます。プロジェクトオーナーはプロジェクト内リソースの管理権限を持ちますが、請求先アカウント自体の管理権限は別途付与が必要です。,【クラウド ソリューション環境の設定】
32,部署ごとに異なる請求先アカウントで費用を分離管理したい場合のアーキテクチャとして正しいものはどれですか？,1 つのプロジェクトに複数の請求先アカウントをリンクする,部署ごとに請求先アカウントを作成し、各プロジェクトを対応する請求先アカウントにリンクする,1 つの請求先アカウントに 1 つのプロジェクトのみリンクできる,フォルダごとに自動的に請求先アカウントが作成される,B,1 つの請求先アカウントに複数プロジェクトをリンクできますが、1 プロジェクトに同時リンクできる請求先アカウントは 1 つだけです。部署別の費用分離には、部署ごとに請求先アカウントを用意し、各部署のプロジェクトをそれぞれの請求先アカウントに紐付ける構成が一般的です。,【クラウド ソリューション環境の設定】
33,特定のプロジェクト `frontend-prod` の利用料金のみを対象に予算アラートを設定したい場合、Cloud Billing の予算設定で指定すべき項目はどれですか？,予算のスコープ（対象）を `frontend-prod` プロジェクトに絞り込む,Cloud Monitoring のダッシュボードでプロジェクトを選択する,IAM ポリシーでプロジェクトを指定する,組織ポリシーでプロジェクト ID を制約する,A,Cloud Billing の予算では、スコープ（対象範囲）を請求先アカウント全体、特定のプロジェクト、またはリソースラベルなどで絞り込めます。`frontend-prod` プロジェクトのみを対象にすれば、そのプロジェクトの利用料金がしきい値を超えた際にアラートが発行されます。,【クラウド ソリューション環境の設定】
34,Cloud Billing の詳細な利用料金データを継続的にエクスポートし、社内の ETL や BI ツールで分析したい場合、設定すべき機能は何ですか？,課金データの BigQuery へのエクスポート,Cloud Storage のライフサイクル管理,Cloud Logging のログシンク,Cloud Monitoring のメトリクススコープ,A,Cloud Billing の詳細な利用料金データは BigQuery にエクスポートできます。エクスポートされたデータは、SQL によるコスト分析、ETL パイプライン、Looker Studio などの BI ツールと連携できます。Cloud Storage へのファイル出力が必要な場合は、BigQuery のエクスポート機能などを別途組み合わせます。,【クラウド ソリューション環境の設定】
35,新規プロジェクトで Compute Engine インスタンスの CPU 使用率が 80% を 5 分間超えた場合に通知を受け取りたい場合、設定すべき機能は何ですか？,Cloud Billing の予算とアラート,Cloud Monitoring のアラートポリシー,Cloud Logging のログベースのアラート,IAM の条件付きロール,B,リソースのメトリクス（CPU 使用率、ディスク I/O など）に基づくアラートは Cloud Monitoring のアラートポリシーで設定します。しきい値条件（例: CPU > 80% が 5 分間継続）と通知チャネル（メール、Pub/Sub など）を指定します。課金関連のアラートには Cloud Billing の予算機能を使用します。,【クラウド ソリューション環境の設定】
36,Compute Engine VM 上のアプリケーションログや詳細なシステムメトリクスを Cloud Logging と Cloud Monitoring に送信するために、新規プロジェクトで導入すべきエージェントはどれですか？,Cloud SQL Auth プロキシ,Ops エージェント,Cloud VPN クライアント,gcloud CLI,B,Ops エージェント（Google Cloud Ops Agent）は、VM 上のログとメトリクスを Cloud Logging と Cloud Monitoring に統合送信するエージェントです。プラットフォームレベルのログは自動収集されますが、アプリケーションログやカスタムメトリクスの詳細な監視には Ops エージェントのインストールが推奨されます。,【クラウド ソリューション環境の設定】
37,Cloud Logging における `_Default` ログバケットの説明として正しいものはどれですか？,すべてのログが最初にルーティングされる、プロジェクトごとのデフォルト保存先,請求データ専用のストレージバケット,Cloud Storage のマルチリージョンバケット,組織全体で共有される 1 つのグローバルバケット,A,プロジェクト作成時に `_Default` という名前のログバケットが自動的に作成されます。ログシンクで明示的な送信先を指定しないログエントリは、このデフォルトバケットに保存されます。保持期間の変更や、リージョン指定バケット `_Required` との使い分けも Observability 設定の一部です。,【クラウド ソリューション環境の設定】
38,クォータ（割り当て）の種類と適用範囲の組み合わせとして正しいものはどれですか？,すべてのクォータはグローバル（プロジェクト全体）のみで、リージョン別の上限は存在しない,Compute Engine の vCPU 数など、リージョンごとに上限が設定されるクォータがある,クォータは請求先アカウント単位でのみ管理され、プロジェクト単位の上限はない,クォータの引き上げリクエストは Google サポートへの電話のみで受け付けられる,B,クォータにはプロジェクト全体（グローバル）に適用されるものと、リージョンごとに個別の上限があるものがあります。例えば Compute Engine の vCPU 数はリージョン別クォータであり、`us-central1` と `asia-northeast1` で別々に上限が管理されます。引き上げリクエストはコンソールまたは Cloud CLI から提出できます。,【クラウド ソリューション環境の設定】
39,組織全体でプロジェクトやリソースに共通のラベル（キー/値）を定義し、課金レポートや IAM 条件で利用したい場合、使用すべき Resource Manager の機能は何ですか？,フォルダ,タグ（Tags）,VPC ピアリング,Cloud DNS ゾーン,B,Resource Manager のタグ（Tags）は、組織・フォルダ・プロジェクト階層でキー/値のペアを定義し、リソースに付与する機能です。コスト配分（課金レポートでのフィルタ）、組織ポリシーの条件、IAM 条件などと連携して、大規模環境のガバナンスとコスト管理に活用されます。リソースラベル（Labels）とは別の仕組みです。,【クラウド ソリューション環境の設定】
40,セキュリティインシデントや請求に関する重要な通知を、組織の適切な担当者に確実に届けるために設定すべき機能は何ですか？,Cloud Armor のセキュリティポリシー,Essential Contacts（重要な連絡先）,Cloud NAT,Binary Authorization,B,Essential Contacts（重要な連絡先）は、組織・フォルダ・プロジェクト単位で、セキュリティ、請求、法務、技術などカテゴリ別の通知先メールアドレスを登録する機能です。Google からの重要な通知（セキュリティ勧告、請求関連など）が、適切な担当者に確実に届くよう設定します。,【クラウド ソリューション環境の設定】
41,データレジデンシー要件により、リソースの作成を `asia-northeast1` と `asia-northeast2` のみに制限したい場合、設定すべき組織ポリシーの制約はどれですか？,`constraints/compute.vmExternalIpAccess`,`constraints/gcp.resourceLocations`,`constraints/iam.allowedPolicyMemberDomains`,`constraints/compute.restrictXpnProjectLienRemoval`,B,`gcp.resourceLocations` 制約は、リソースを作成・デプロイできる Google Cloud のロケーション（リージョンやマルチリージョン）を制限します。組織・フォルダ・プロジェクトの階層に適用でき、データ所在地のコンプライアンス要件を満たすために使用します。,【クラウド ソリューション環境の設定】
42,サービスアカウントキーの作成を組織全体で禁止し、Workload Identity などのより安全な認証方式への移行を促進したい場合、設定すべき組織ポリシーの制約はどれですか？,`constraints/iam.disableServiceAccountKeyCreation`,`constraints/iam.automaticIamGrantsForDefaultServiceAccounts`,`constraints/compute.requireShieldedVm`,`constraints/storage.uniformBucketLevelAccess`,A,`iam.disableServiceAccountKeyCreation` 制約は、サービスアカウントの JSON キーファイルの作成を禁止します。キーの漏洩リスクを低減するため、Google 推奨の Workload Identity や権限借用（impersonation）の利用を促すセキュリティ施策として有効です。,【クラウド ソリューション環境の設定】
43,組織ポリシーをフォルダ単位で設定した場合、そのポリシーの適用範囲として正しいものはどれですか？,フォルダノードのみに適用され、配下のプロジェクトには影響しない,そのフォルダ配下のプロジェクトとリソースに継承される,組織全体に自動的に適用される,同一階層の他フォルダにも適用される,B,組織ポリシーは IAM と同様に階層的に継承されます。フォルダに設定した制約は、そのフォルダ配下のすべてのプロジェクトとリソースに適用されます。組織全体ではなく特定の部署・環境だけに制約を適用したい場合にフォルダ単位の設定が有効です。,【クラウド ソリューション環境の設定】
44,組織ポリシーを子プロジェクトで設定する際の継承・上書きに関する説明として、正しいものはどれですか？,子プロジェクトは、親で強制されたすべての制約を必ず無効化できる,制約の種類と継承ルールに応じて、親ポリシーを継承・結合・置換できる場合があるが、親で強制された制約を常に緩和できるわけではない,組織ポリシーは組織ノードにしか設定できず、フォルダやプロジェクトには設定できない,組織ポリシーは IAM ロールと同じ仕組みであり、リソース構成には影響しない,B,組織ポリシーは階層に沿って評価されます。リスト制約では親から継承した値を結合するか、子階層で置換するかを制御できる場合があります。一方、ブール値制約などでは親で強制された制約を子階層で無効化できない場合があります。制約ごとの継承動作を確認して設計することが重要です。,【クラウド ソリューション環境の設定】
45,プロジェクトの Cloud Logging ログを BigQuery データセットにエクスポートして SQL 分析したい場合、設定すべき Cloud Logging の機能は何ですか？,ログシンク（Log Sink）,ログバケットの保持期間変更,Cloud Monitoring のアラートポリシー,Cloud Billing の予算とアラート,A,ログシンク（Log Sink）は、Cloud Logging のログエントリを BigQuery、Cloud Storage、Pub/Sub などの宛先にルーティングする機能です。フィルタ条件を指定して特定のログのみをエクスポートでき、Observability 基盤の構築やセキュリティ分析に活用します。,【クラウド ソリューション環境の設定】
46,Cloud Logging における `_Required` ログバケットの説明として正しいものはどれですか？,必須の監査ログを保存するために自動作成され、削除や保持期間の変更はできない,請求データを 7 年間保存するために手動で作成する,Cloud Storage へのログエクスポートを自動化するためのバケットである,すべてのログを無期限に無料保存するためのバケットである,A,`_Required` はプロジェクトで自動作成されるログバケットです。Admin Activity 監査ログなどの必須ログを保存し、削除できません。また、保持期間は固定で変更できません。用途や保持期間を柔軟に設定したいログは、`_Default` バケットやユーザー定義ログバケット、ログシンクを使って管理します。,【クラウド ソリューション環境の設定】
47,複数プロジェクトのメトリクスを 1 つの Cloud Monitoring ワークスペースで横断的に監視したい場合、設定すべき機能は何ですか？,メトリクススコープ（Metrics Scope）に監視対象プロジェクトを追加する,各プロジェクトに個別の請求先アカウントをリンクする,VPC ピアリングを構成する,Cloud DNS で CNAME レコードを作成する,A,Cloud Monitoring のメトリクススコープ（Metrics Scope）を使用すると、複数プロジェクトのメトリクスを 1 つの Monitoring アカウント（スコープホストプロジェクト）から一元監視できます。組織内の複数プロジェクトを横断したダッシュボードやアラートの構築に適しています。,【クラウド ソリューション環境の設定】
48,Cloud Monitoring のアラートポリシーでメール通知を送信するために、事前に設定が必要なものは何ですか？,通知チャネル（Notification Channel）,Cloud NAT ゲートウェイ,Cloud VPN トンネル,組織ポリシーの制約,A,アラートポリシーが発火した際の通知先は、通知チャネル（Notification Channel）で定義します。メール、SMS、Pub/Sub、Slack、PagerDuty などのチャネルタイプがあり、アラートポリシーに 1 つ以上のチャネルを紐付けます。,【クラウド ソリューション環境の設定】
49,請求先アカウントの利用状況を参照（閲覧）のみ可能で、支払い方法の変更やプロジェクトのリンク操作はできない IAM ロールはどれですか？,請求先アカウント管理者（Billing Account Administrator）,請求先アカウントユーザー（Billing Account User）,請求先アカウント閲覧者（Billing Account Viewer）,プロジェクト編集者（Project Editor）,C,請求先アカウント閲覧者（Billing Account Viewer）は、請求先アカウントの利用料金やレポートの参照のみが可能な読み取り専用ロールです。管理者（Administrator）は支払い設定の変更やアカウント削除、ユーザー（User）はプロジェクトのリンク操作が可能です。,【クラウド ソリューション環境の設定】
