No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
45,多数の顧客問い合わせを短い応答時間で処理する生成 AI アプリケーションにおいて、特に重要な性能指標は何ですか？,レイテンシ,データセンターの床面積,ファイル名の長さ,画面の解像度,A,レイテンシは、リクエストから応答が返るまでの時間です。対話型アプリケーションでは利用者体験に直結するため、モデル選択、プロンプト長、検索処理などを含めて管理します。,【生成 AI の基礎】
46,生成 AI の利用コストを抑えるため、プロンプトを必要以上に長くしない主な理由は何ですか？,入力トークン数が料金や応答時間に影響するため,モデルがプロンプトを読めなくなるため,出力が必ず短くなるため,RAG が不要になるため,A,多くの生成 AI サービスでは、入力と出力のトークン量が利用料金と処理時間に影響します。目的に関係ない情報を減らし、必要な根拠だけを与えることがコストと品質の両面で重要です。,【生成 AI の基礎】
47,同一の質問に対する回答品質を、プロンプトやモデルの変更前後で公平に比較するために必要なものは何ですか？,代表的な入力と期待基準を含む評価用データセット,無作為に削除した本番データだけ,管理者権限を持つ単一ユーザー,固定されたネットワーク帯域,A,代表的なユースケースや難しいケースを含む評価用データセットを用意すると、変更の効果と副作用を一貫して測定できます。基準は正確性、安全性、形式遵守など目的に応じて定義します。,【生成 AI の基礎】
48,生成 AI の出力を専門家が採点し、役立ちやすさや自然さなどを判断する評価方法は何ですか？,人間による評価,自動スケーリング,データ複製,キー管理,A,人間による評価は、文脈に依存する有用性、自然さ、安全性など、自動指標だけでは判断しにくい品質を確認する際に有効です。再現性を高めるため、評価基準を明文化します。,【生成 AI の基礎】
49,生成 AI の安全性を評価するため、悪意ある入力や想定外の利用方法を意図的に試して弱点を探す活動は何ですか？,レッドチーミング,データアーカイブ,ロードテストのみ,バックアップ復元,A,レッドチーミングでは、攻撃者や悪用者の観点からシステムを検証します。プロンプト インジェクション、有害な出力、情報漏えいなどのリスクを発見し、対策の改善に役立てます。,【生成 AI の基礎】
50,社内文書を RAG の検索対象にする場合、最も適切なアクセス制御の考え方はどれですか？,利用者が閲覧権限を持つ文書だけを検索・回答の根拠に利用する,すべての文書を全利用者に公開する,検索時にはアクセス権を確認しない,文書の所有者を記録しない,A,RAG でも元文書のアクセス制御を維持する必要があります。検索段階で利用者の権限に応じて結果を絞り込み、権限のない情報がプロンプトや回答に含まれないように設計します。,【生成 AI の基礎】
51,RAG の検索結果に古い文書が多く含まれる場合、最初に検討すべき改善策は何ですか？,文書の更新・削除とインデックスの再作成を行い、鮮度を管理する,すべての利用者に管理者権限を与える,モデルの安全フィルタを無効にする,質問を受け付けないようにする,A,RAG の品質は検索対象データの品質と鮮度に依存します。文書のライフサイクル、更新日時、所有者、インデックス更新を管理して、古い情報を根拠にしない仕組みを設けます。,【生成 AI の基礎】
52,Google Cloud の Vertex AI で、Google 提供モデルやオープンモデルなどを検索・試用・デプロイするためのカタログは何ですか？,Model Garden,Cloud Storage,Cloud Vision API,Document AI,A,Model Garden は Vertex AI のモデルカタログです。Google のモデルやオープンモデルなどから、ユースケースに応じたモデルを検討・利用できます。,【生成 AI の基礎】
53,Vertex AI で、コードを多く書かずにプロンプトの試作や生成 AI モデルとの対話を行うためのツールは何ですか？,Vertex AI Studio,Cloud Storage,Cloud Vision API,Document AI,A,Vertex AI Studio は、生成 AI のプロンプトを試作・調整し、モデルの応答を評価するための開発環境です。プロトタイプを迅速に作る際に役立ちます。,【生成 AI の基礎】
54,基盤モデルの選択において、オープンモデルを採用する際の一般的な利点は何ですか？,モデルの実装やデプロイ方法を柔軟に選べる場合がある,セキュリティ評価が不要になる,利用コストが必ずゼロになる,すべての用途で最高品質が保証される,A,オープンモデルは、利用条件の範囲でモデルや実行環境の選択肢を広げられる場合があります。一方で、ライセンス、セキュリティ、運用、性能評価の責任も考慮する必要があります。,【生成 AI の基礎】
55,生成 AI の出力が特定の利用者層で不公平な結果を生んでいないか確認するために重要なことは何ですか？,多様な属性や利用場面を含むデータで評価する,一つの属性だけで評価する,利用者からの苦情を記録しない,評価基準を公開・共有しない,A,偏りの検証では、多様な利用者、言語、状況を考慮した評価が重要です。問題が見つかった場合は、データ、プロンプト、ガードレール、運用手順を見直します。,【生成 AI の基礎】
56,生成 AI を用いた採用選考や融資審査のように個人へ大きな影響を与える判断で、特に求められる対応はどれですか？,人間による監督、説明可能性、異議申立てを含む適切な運用を設ける,モデルの結果だけで自動的に最終決定する,判断基準やログをすべて削除する,バイアス評価を行わない,A,高影響領域では、誤りや偏りが重大な不利益につながり得ます。人による確認、説明、監査可能性、救済手段を設け、法令・組織ポリシーに従って運用します。,【生成 AI の基礎】
57,生成 AI アプリケーションのプロンプトをバージョン管理する主な利点は何ですか？,品質変化の追跡、再現、問題発生時のロールバックを行いやすくする,プロンプトの内容を全員へ公開する,評価を不要にする,モデルの利用料金を必ず無料にする,A,プロンプトはアプリケーション品質に大きく影響する成果物です。変更履歴、評価結果、利用モデルを対応付けて管理すると、改善の効果を確認し、問題時に以前の設定へ戻しやすくなります。,【生成 AI の基礎】
58,同じ質問と同じ設定でも、生成 AI が毎回完全に同一の回答を返すとは限らない主な理由は何ですか？,トークン選択に確率的な要素があり、生成パラメータが出力へ影響するため,モデルは入力を処理しないため,データ保護が必ず無効になるため,ネットワーク通信が存在しないため,A,生成時のサンプリングには確率的な要素があります。温度や Top-p などの設定により出力の多様性は変化するため、評価ではモデル、パラメータ、プロンプトを記録することが重要です。,【生成 AI の基礎】
59,生成 AI の回答を業務システムで利用する前に、期待する項目の有無、型、値の範囲を確認する処理を何と呼びますか？,出力検証,データセンター冷却,コンテナオーケストレーション,物理バックアップ,A,出力検証では、JSON スキーマ、許容する値、文字数、必須項目などを確認します。検証に失敗した場合は再生成、利用者への確認、処理の中止などを行い、誤った自動処理を防ぎます。,【生成 AI の基礎】
60,生成 AI の本番運用で、利用者が不適切な回答や誤答を報告できるフィードバック手段を用意する主な目的は何ですか？,実利用で発生する品質・安全性の問題を検知し、継続的改善に生かすため,利用者の入力を無制限に公開するため,評価データを不要にするため,アクセス制御を廃止するため,A,本番でのフィードバックは、事前評価だけでは見つからない問題の発見に役立ちます。個人情報などを適切に保護しながら、報告内容を分析してプロンプト、データ、ガードレール、運用を改善します。,【生成 AI の基礎】
61,Google Cloud で、生成 AI モデルの選択、プロンプト設計、チューニング、評価、デプロイを一元的に行うためのプラットフォームは何ですか？,BigQuery,Vertex AI,Cloud Run,Cloud Storage,B,Vertex AI は、Gemini などの基盤モデルを利用した生成 AI アプリケーションの開発から運用までを支援する統合 AI プラットフォームです。,【Google Cloud の生成 AI サービス】
62,生成 AI における「基盤モデル（Foundation Model）」の説明として最も適切なものはどれですか？,特定企業のデータだけで、単一の業務向けにゼロから学習した小規模モデル,大量かつ多様なデータで事前学習され、さまざまなタスクへ適応できる大規模モデル,データベースのバックアップを保存するためのストレージ形式,仮想マシンのOSイメージ,B,基盤モデルは幅広いデータで事前学習されており、プロンプト、RAG、チューニングなどを通じて要約、生成、分類といった個別の用途に適応させられます。,【Google Cloud の生成 AI サービス】
63,Gemini のような大規模言語モデルに、タスクの指示や文脈、入力データを与えて望む出力を得る行為を何と呼びますか？,プロンプティング,シャーディング,ロードバランシング,暗号化,A,プロンプトはモデルへの指示です。目的、対象読者、出力形式、制約条件、必要な文脈を明確にすることで、回答の品質と一貫性を向上させられます。,【Google Cloud の生成 AI サービス】
64,社内規程や最新の製品マニュアルを根拠に、生成 AI が回答するチャットアプリを構築したい場合に最も適したアプローチはどれですか？,モデルの事前学習データだけに依存する,RAG を使用し、質問に関連する社内文書を検索してプロンプトに追加する,すべての社内文書を公開Webサイトに掲載する,回答が生成されるたびにモデルをゼロから学習する,B,RAG（Retrieval-Augmented Generation）は、信頼できる外部データを検索し、その結果を根拠としてモデルに渡す手法です。最新性や回答の根拠を重視するエンタープライズ検索・チャットに適しています。,【Google Cloud の生成 AI サービス】
65,RAG を利用する主な目的として最も適切なものはどれですか？,モデルが生成する回答を必ず事実にすること,関連性の高い信頼済みデータを回答生成時に参照させ、鮮度と根拠を補強すること,ユーザーからのすべての入力を削除すること,モデルのパラメータ数を必ず減らすこと,B,RAG はハルシネーションのリスクを低減するのに役立ちますが、正確性を無条件に保証するものではありません。検索結果の品質、アクセス制御、回答の評価をあわせて設計する必要があります。,【Google Cloud の生成 AI サービス】
66,生成 AI が、もっともらしいものの事実に基づかない内容や、根拠のない引用を生成する現象を何と呼びますか？,ハルシネーション,オートスケーリング,正規化,フェイルオーバー,A,ハルシネーションへの対策には、RAG による根拠データの付与、プロンプトでの制約、出力の検証、人によるレビュー、回答できない場合の適切なエスカレーションが含まれます。,【Google Cloud の生成 AI サービス】
67,生成 AI の出力を、JSON などの決められた構造と項目で後続システムに渡したい場合、プロンプトに含めるべき指示として最も効果的なものはどれですか？,出力の形式や必須フィールドを明示し、期待する形式の例を示す,「自由に回答してください」とだけ指示する,モデルにアクセスする全ユーザーの権限を管理者にする,入力文を暗号化せずにログへ保存する,A,出力スキーマ、必須項目、値の制約、例を具体的に提示すると、アプリケーションで扱いやすい一貫した出力を得やすくなります。実運用では出力の構文・内容の検証も必要です。,【Google Cloud の生成 AI サービス】
68,1つまたは少数の例をプロンプトに含め、モデルに期待する回答形式や推論パターンを示す手法は何ですか？,Few-shot プロンプティング,リフト＆シフト,データシャーディング,バッチ処理,A,Few-shot プロンプティングでは、入力と望ましい出力の例を少数提示します。複雑な分類、文体、フォーマットをモデルに伝える際に有効です。,【Google Cloud の生成 AI サービス】
69,特定の業界用語や独自の出力スタイルにモデルの振る舞いをより恒常的に適応させるため、ラベル付きの例を使ってモデルを追加学習する手法は何ですか？,モデルチューニング,コンテンツデリバリーネットワーク,オブジェクトライフサイクル管理,水平スケーリング,A,モデルチューニングは、タスクに適したデータ例を用いてモデルを適応させる方法です。一方、最新の社内事実を参照させる用途では、通常はデータをモデルに埋め込むより RAG を優先して検討します。,【Google Cloud の生成 AI サービス】
70,企業が生成 AI アプリケーションを設計する際、機密性の高い顧客データへのアクセスを必要最小限に制御するために使用する Google Cloud のサービスは何ですか？,IAM,Cloud CDN,Cloud DNS,Cloud Build,A,IAM では、ユーザー、グループ、サービス アカウントに対し、必要なリソースと操作だけを許可する最小権限の原則を適用します。RAG のデータソースや Vertex AI の利用権限にも適切なアクセス制御が重要です。,【Google Cloud の生成 AI サービス】
71,テキストだけでなく、画像、音声、動画、PDF など複数の種類の入力を理解・処理できる生成 AI モデルの特性を何と呼びますか？,マルチモーダル,モノリシック,リージョナル,ステートレス,A,マルチモーダルモデルは、複数のデータ形式を組み合わせて扱えます。例えば、製品画像と質問文を入力して画像の内容を説明したり、文書と表を要約したりできます。,【Google Cloud の生成 AI サービス】
72,生成 AI を利用した顧客向けサービスで、攻撃的、有害、または不適切な出力を抑制するために最初に実施すべき対策として適切なものはどれですか？,安全フィルタを設定し、対象ユースケースに合わせて出力をテスト・評価する,すべての安全機能を無効化して回答量を増やす,生成結果を無条件で本番画面に表示する,すべての入力を永続的に公開する,A,生成 AI の責任ある利用では、安全設定、入力・出力の評価、利用者フィードバック、人による監督を組み合わせます。ユースケースに応じて許容できるリスクを定め、継続的に見直します。,【Google Cloud の生成 AI サービス】
